Age,Gender,Home Region,Program Main Category Code,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,Employment Status,Y,During Ramadan
21.0,ذكر,منطقة عسير,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Media and Communication,طالب,0,True
24.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
30.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
30.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,المنطقة الشرقية,AI & Robotics,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
20.0,ذكر,منطقة نجران,Cybersecurity,مبتدئ,عن بعد,19,لا,البكالوريوس,Computer Science and IT,موظف - طالب,1,False
23.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,59,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
27.0,ذكر,منطقة مكة المكرمة,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,ذكر,منطقة مكة المكرمة,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
34.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
43.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Humanities and Social Sciences,موظف,0,False
21.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,ثانوي,Computer Science and IT,طالب,0,False
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Engineering,طالب,0,False
22.0,ذكر,منطقة الرياض,Data Science,متقدم,حضوري,33,نعم,البكالوريوس,Sciences,غير موظف,0,False
30.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
30.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,الماجستير,Computer Science and IT,موظف,0,True
29.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,عمل حر,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,59,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,البكالوريوس,Health Sciences,خريج,0,False
30.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
28.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,ذكر,منطقة الرياض,Infrastructure & Networks,متوسط,حضوري,12,نعم,الدكتوراه,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
25.0,ذكر,المنطقة الشرقية,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,True
28.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة القصيم,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Engineering,خريج,0,True
27.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
20.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
31.0,أنثى,منطقة مكة المكرمة,Cybersecurity,مبتدئ,عن بعد,5,لا,البكالوريوس,Humanities and Social Sciences,عمل حر,1,False
39.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,الدبلوم,Computer Science and IT,غير موظف,0,False
35.0,أنثى,منطقة تبوك,Cybersecurity,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
38.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,أنثى,منطقة مكة المكرمة,Cybersecurity,متوسط,عن بعد,173,نعم,البكالوريوس,Computer Science and IT,طالب,1,False
